loan_id,issue_date,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,fico_score,revol_util,total_pymnt,loan_status
1,2017-10-01,25000,25000,36 months,11.73,827.14,B,1 year,MORTGAGE,48463,other,PA,34.68,822,17.66,27677.89,0
2,2017-05-01,15000,15000,60 months,27.84,465.59,F,3 years,MORTGAGE,101151,home_improvement,FL,24.78,779,52.22,19823.37,0
3,2017-12-01,15000,15000,36 months,17.92,541.68,D,4 years,MORTGAGE,71337,major_purchase,FL,23.98,817,18.49,17270.09,0
4,2018-10-01,10000,10000,36 months,15.86,350.88,C,7 years,RENT,30248,debt_consolidation,MI,42.18,747,8.66,11878.44,0
5,2018-01-01,30000,30000,60 months,6.06,580.82,A,6 years,RENT,143238,major_purchase,GA,32.59,837,14.98,7555.87,1
6,2016-06-01,35000,35000,60 months,7.55,702.16,A,9 years,MORTGAGE,19506,medical,NC,25.29,786,66.37,40167.01,0
7,2015-09-01,20000,20000,60 months,7.44,400.19,A,7 years,RENT,57838,credit_card,OH,41.0,644,62.88,27332.53,0
8,2017-05-01,10000,10000,36 months,21.79,380.82,E,10+ years,RENT,29919,credit_card,CA,21.63,790,33.96,13382.2,0
9,2018-09-01,15000,15000,36 months,12.52,501.95,C,2 years,MORTGAGE,20083,medical,TX,9.64,622,26.4,19362.05,0
10,2018-02-01,10000,10000,36 months,18.19,362.48,D,8 years,OWN,24822,credit_card,TX,9.45,621,29.69,11969.28,0
11,2016-03-01,15000,15000,36 months,5.2,450.91,A,1 year,RENT,47593,medical,OH,14.32,681,68.42,20761.65,0
12,2016-08-01,20000,20000,36 months,28.34,830.95,G,1 year,MORTGAGE,60465,other,TX,26.82,636,62.82,7864.71,1
13,2016-12-01,5000,5000,60 months,23.54,142.51,E,8 years,RENT,92536,debt_consolidation,NC,14.16,699,80.11,2578.82,1
14,2017-10-01,10000,10000,36 months,11.04,327.58,B,3 years,RENT,118850,major_purchase,MI,11.82,601,65.67,13017.81,0
15,2017-12-01,20000,20000,36 months,7.29,620.2,A,7 years,RENT,57908,debt_consolidation,NY,29.99,665,65.53,11936.4,1
16,2015-09-01,5000,5000,60 months,6.61,98.09,A,8 years,RENT,37574,debt_consolidation,IL,36.25,811,37.93,6426.75,0
17,2017-09-01,20000,20000,60 months,10.19,426.81,B,7 years,MORTGAGE,91437,other,PA,41.64,746,38.54,2075.95,1
18,2018-09-01,10000,10000,36 months,15.76,350.39,C,< 1 year,OWN,33901,home_improvement,FL,10.52,844,22.38,12085.38,0
19,2017-07-01,30000,30000,60 months,10.25,641.11,B,2 years,RENT,18819,debt_consolidation,NC,15.29,795,37.29,14453.67,1
20,2016-05-01,25000,25000,60 months,8.03,507.27,B,1 year,RENT,86112,credit_card,NC,31.72,700,27.11,28383.32,0
21,2016-12-01,30000,30000,36 months,12.37,1001.74,C,5 years,OTHER,108482,major_purchase,PA,33.34,741,37.54,41238.84,0
22,2018-06-01,5000,5000,36 months,5.55,151.09,A,5 years,MORTGAGE,29938,major_purchase,PA,19.67,786,12.84,6632.21,0
23,2018-11-01,35000,35000,36 months,8.9,1111.36,B,4 years,OWN,158973,debt_consolidation,IL,13.95,639,52.99,16805.93,1
24,2016-04-01,5000,5000,36 months,10.25,161.92,B,9 years,RENT,69552,debt_consolidation,NC,16.42,609,25.8,6686.76,0
25,2017-07-01,30000,30000,36 months,14.78,1036.73,C,5 years,RENT,63600,debt_consolidation,OH,39.36,625,62.29,40858.9,0
26,2017-10-01,15000,15000,36 months,16.23,529.06,D,7 years,OWN,35953,other,NY,24.75,785,56.57,5480.74,1
27,2018-10-01,35000,35000,36 months,6.95,1079.9,A,5 years,MORTGAGE,90253,debt_consolidation,FL,10.22,663,47.44,43475.69,0
28,2016-01-01,5000,5000,60 months,13.07,113.94,C,8 years,RENT,19640,other,OH,7.19,729,30.94,6654.16,0
29,2016-10-01,20000,20000,60 months,14.77,473.39,C,9 years,RENT,39979,small_business,CA,12.66,621,56.02,25809.13,0
30,2017-05-01,35000,35000,60 months,7.7,704.66,A,8 years,MORTGAGE,31574,debt_consolidation,GA,6.95,618,56.71,39157.37,0
31,2018-11-01,20000,20000,36 months,15.75,700.67,C,6 years,MORTGAGE,22351,debt_consolidation,PA,27.14,750,79.77,25401.26,0
32,2017-10-01,20000,20000,36 months,6.0,608.44,A,8 years,MORTGAGE,82272,medical,IL,18.7,687,75.3,23983.48,0
33,2016-10-01,20000,20000,36 months,5.38,602.84,A,4 years,MORTGAGE,60155,home_improvement,IL,39.11,825,53.89,23478.58,0
34,2018-04-01,35000,35000,36 months,26.87,1426.44,F,9 years,RENT,79444,debt_consolidation,MI,26.03,818,68.31,44824.57,0
35,2015-04-01,20000,20000,36 months,31.04,860.46,G,1 year,OWN,41482,other,NC,12.94,786,31.23,10766.03,1
36,2016-04-01,15000,15000,60 months,22.36,417.36,E,9 years,MORTGAGE,88525,credit_card,FL,31.52,776,49.88,5737.24,1
37,2018-04-01,10000,10000,36 months,8.51,315.72,B,2 years,MORTGAGE,51343,credit_card,MI,14.33,656,23.54,13525.7,0
38,2018-02-01,25000,25000,36 months,7.83,781.45,A,< 1 year,RENT,36927,credit_card,TX,43.74,781,27.12,33944.11,0
39,2017-05-01,10000,10000,60 months,17.28,250.03,D,2 years,MORTGAGE,33411,credit_card,PA,6.09,773,51.99,11083.45,0
40,2018-11-01,5000,5000,36 months,8.7,158.3,B,< 1 year,OWN,15000,small_business,IL,37.17,790,39.41,6053.61,0
41,2015-06-01,25000,25000,36 months,6.13,762.02,A,7 years,OWN,98579,credit_card,FL,37.35,614,33.56,33717.85,0
42,2015-10-01,10000,10000,60 months,14.74,236.54,C,< 1 year,RENT,92091,credit_card,FL,9.4,659,24.69,13796.98,0
43,2017-11-01,10000,10000,60 months,5.2,189.63,A,10+ years,OWN,283912,debt_consolidation,IL,16.51,670,16.26,12682.17,0
44,2016-03-01,25000,25000,36 months,26.8,1017.95,F,7 years,OWN,40103,major_purchase,OH,21.92,719,59.69,9175.97,1
45,2016-08-01,25000,25000,60 months,11.36,548.06,B,6 years,MORTGAGE,32857,credit_card,NY,28.03,754,54.05,27526.52,0
46,2016-10-01,5000,5000,36 months,17.52,179.56,D,3 years,MORTGAGE,17661,other,FL,39.66,693,16.01,6907.68,0
47,2016-04-01,15000,15000,36 months,10.82,489.8,B,6 years,RENT,87201,credit_card,CA,34.19,847,40.95,19417.16,0
48,2017-07-01,5000,5000,60 months,12.62,112.8,C,10+ years,MORTGAGE,75954,other,NC,41.17,774,53.5,2994.16,1
49,2015-01-01,25000,25000,36 months,15.93,878.06,C,3 years,MORTGAGE,124376,debt_consolidation,IL,11.38,691,60.27,34510.07,0
50,2016-10-01,5000,5000,36 months,5.44,150.84,A,10+ years,MORTGAGE,28282,debt_consolidation,NY,43.96,659,69.32,6734.91,0
51,2017-02-01,15000,15000,60 months,29.44,480.15,G,4 years,RENT,75343,other,GA,33.2,752,31.53,8795.11,1
